rule,classification,description,hits,scope
S00,Structural,version-1 title line and manual TOC-update instructions removed (title page and TOC are now generated by the build),4,front matter
L03,Formatting,double spaces collapsed,21,whole manuscript
T12,Editorial,register: زنگ زدن -> تماس گرفتن in professional prose,1,whole manuscript
T16,Editorial,register consistency,1,whole manuscript
T14,Editorial,register consistency,1,whole manuscript
T18,Clinical correction,unsafe phrasing replaced with a clinical risk statement,2,whole manuscript
L04,Formatting,missing space after sentence-final period,11,whole manuscript
L07,Editorial,colloquial copula اند -> هستند (formal written Dari),3,whole manuscript
N01,Formatting,ASCII digits -> Persian-Indic digits in Dari text,45,whole manuscript
N02,Formatting,numbering markers unified to Persian-Indic digits,15,headings/lists/exam items
